Interaction,Feynman Diagram,Amplitude,Squared Amplitude,domain
t eps (X)^(*) tt eta (X)^(*) to t alpha (X) tt beta (X),"Vertex V_1:tt(X_2), tt(X_4),  OffShell A(V_1), Vertex V_0:t(X_1), t(X_3),  OffShell A(V_0),",+ * * * * 1/3 i ^ e_2 gamma_lor_spi_del gamma / * * * * lor_0 s_del_4068 t_del_4067_pu t_spi_1_pu_star tt_del_4068_pu tt s_pu_star + + mass_t_sq NEG s * 1/2 reg_prop,* * * 1/9 ^ e_4 + + + + * * 16 ^ 2 ^ m_tt_2 * * NEG 8 ^ m_tt_2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
s alpha (X)^(*) AntiPart c eps (X) to s eta (X) AntiPart c alpha (X)^(*),"Vertex V_0:AntiPart c(X_2), AntiPart c(X_4),  OffShell G(V_0), Vertex V_1:s(X_1), s(X_3),  OffShell G(V_1),",+ * * * 1/12 i ^ g_2 gamma / * * lor_spi_del_col gamma_lor_spi_col + * * * col_idx_7_del_col_pv_idx_7_spi_pv_star s Gdel_col_pu_s_col_idx_6_spi_pu_star * * * * NEG 3_col Gdel_col_pv_idx_7_spi_pv_star s_idx_7_del_col_pu_s_col_idx_6_spi_pu_star + + mass_s_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/16 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/144 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop,qcd
t eps (X)^(*) c eta (X)^(*) to t alpha (X) c beta (X),"Vertex V_0:c(X_2), c(X_4),  OffShell G(V_0), Vertex V_1:t(X_1), t(X_3),  OffShell G(V_1),",+ * * * 1/12 i ^ g_2 gamma / * * lor_spi alph_col gamma_lor_spi_col + * * * idx_7_del_col_pu_col_idx_7_spi_pu_star t_col_idx_4_spi_pu_star t_col_idx_idx_4 alph_col pu * * * * NEG 3 Gdel_col_pu_col_idx_4_spi_pu_star t_col_idx_6_spi_pu_star t_col_idx_idx_4 alph_col pu + + mass_t_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/16 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/144 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop,qcd
d eps (X)^(*) AntiPart d eta (X) to b lambda (X) AntiPart c tau (X),"Vertex V_0:AntiPart d(X_2), G(X_4), AntiPart  OffShell d(V_0), Vertex V_1:d(X_1), G(X_3),  OffShell d(V_1),",/ * * NEG i ^ g_2 + + + + + + * * * * p_lor gamma_lor_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_idx_idx_4_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star d_col_idx_4_spi_pu_d_idx_3_spi_pv_star * * * * NEG 1/2 p_lor gamma_lor_spi gamma_lor_spi gamma * * * lor_spi_spi T_2_col_idx_idx_3_idx_idx_3 T_2_col_idx_idx_3_idx_idx_4_idx_6_col_col * lor p_star_idx_6_col_col * * lor p_star d_col_idx_4_spi_pu_d_idx_3_spi_pv_star + s * NEG 1/2 reg_prop,+ * * * * 16/27 ^ g_4 s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * 32/27 i ^ g_2 + / * * * i ^ g_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/2 i ^ g_2 ^ 2 + s_s * 2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qcd
AntiPart d eps (X) tt eta (X)^(*) to AntiPart d alpha (X)^(*) tt beta (X),"Vertex V_1:tt(X_2), tt(X_4),  OffShell A(V_1), Vertex V_0:AntiPart d(X_1), AntiPart d(X_3),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del d_spi_0_pv_star d_spi_1_pv tt s_pu_star tt_del_2409_pu + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ m_tt_2 * * NEG 8 ^ m_tt_2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
mu eps (X)^(*) AntiPart t gam (X) to mu del (X) AntiPart t eps (X)^(*),"Vertex V_0:mu(X_1), mu(X_3),  OffShell A(V_0), Vertex V_1:AntiPart t(X_2), AntiPart t(X_4),  OffShell A(V_1),",+ * * * NEG 1/2 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del t_del_806_pv t_spi_2_pv_star mu_spi_0_pu_star mu_spi_1_pu + + mass_mu_sq NEG s * 1/2 reg_prop,* * * 1/4 ^ e_4 + + + + * * 16 ^ 2 ^ m_mu_2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ m_mu_2 s_s * * 8 s_s s_s ^ + + ^ m_mu_2 NEG s_s * 1/2 reg_prop NEG 2,qed
AntiPart d alpha (X) s beta (X)^(*) to AntiPart d gam (X)^(*) s del (X),"Vertex V_0:s(X_2), s(X_4),  OffShell G(V_0), Vertex V_1:AntiPart d(X_1), AntiPart d(X_3),  OffShell G(V_1),",+ * * * 1/12 i ^ g_2 gamma / * * lor_spi_spi gamma_lor_spi_col + * * * d_col_idx_3_spi_pv_d_col_idx_3_spi_pv_star s * * * * NEG 3 d_col_idx_6_spi_pv_d_col_idx_7_spi_pv_star s + + mass_d_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop,qcd
d sigma (X) AntiPart e lambda (X) to t gam (X) AntiPart t del (X)^(*),"Vertex V_1:t(X_3), AntiPart t(X_4),  OffShell G(V_1), Vertex V_0:G(X_1), G(X_2),  OffShell G(V_0),",/ * g + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + * * * * * * i g p_lor gamma_lor_spi_col T_2_col_idx_idx_3_col T_2_col_idx_1_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * * * * * i g p_lor gamma_lor_spi_col T_2_col_idx_idx_3_col T_2_col_idx_1_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * * * * * NEG i g p_lor gamma_lor_spi_col T_2_col_idx_1_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col * lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * * * * * NEG i g p_lor gamma_lor_spi_col T_2_col_idx_1_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col * lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * * * * * * NEG 1/2 i g p_lor gamma_lor_spi_col T_2_col_idx_idx_3_col T_2_col_idx_1_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * * * * * * NEG 1/2 i g p_lor gamma_lor_spi_col T_2_col_idx_idx_3_col T_2_col_idx_1_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * * * * * * 1/2 i g p_lor gamma_lor_spi_col T_2_col_idx_1_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col * lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * * * * * * 1/2 i g p_lor gamma_lor_spi_col T_2_col_idx_1_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col * lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * * * * * * NEG 1/2 i g p_lor gamma_lor_spi_col T_2_col_idx_idx_3_col T_2_col_idx_1_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * * * * * * 1/2 i g p_lor gamma_lor_spi_col T_2_col_idx_1_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col * lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * i g p * * * * * lor gamma_lor_spi_col T_2_col_idx_idx_3_col T_2_col_idx_1_idx_idx_3_idx_6_col_lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * NEG i g p * * * * * lor gamma_lor_spi_col T_2_col_idx_1_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col_lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * * * * * * NEG 1/2 i g p_lor gamma_lor_spi_col T_2_col_idx_idx_3_col T_2_col_idx_1_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv * * * * * * * 1/2 i g p_lor gamma_lor_spi_col T_2_col_idx_1_idx_idx_3 T_2_col_idx_idx_3_col_idx_6_col * lor p_idx_6_col_col * * lor p_t_col_idx_1_spi_pu_star t_col_idx_2_del_col_pv + s * 1/2 reg_prop,+ + + + + * * * NEG 1/6 ^ g_4 + * ^ 2 + ^ 2 * 1/2 s_s * s_s + ^ 2 * 1/2 s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 1/12 i ^ g_2 + + / * * * i ^ g_2 s_s + s_s * 1/2 reg_prop / * * * * NEG 2 i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 2 i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop / * * * NEG 1/16 i ^ g_2 + + + / * * * i ^ g_2 s_s + s_s * 1/2 reg_prop / * * * * NEG 8/3 i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 8/3 i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * 1/6 i ^ g_2 + + * s_s * * NEG 1/64 s_s + * 128 ^ 2 * 64 s_s * * NEG 1/64 s_s + * 128 ^ 2 * 64 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop / * * * 1/96 i ^ g_2 + + + + + / * * * i ^ g_2 s_s + s_s * 1/2 reg_prop / * * * i ^ g_2 ^ 2 + s_s NEG s_s + s_s * 1/2 reg_prop / * * * 1/64 i ^ g_2 + * s_s + * 128 ^ 2 * 64 s_s * s_s + * 128 ^ 2 * 64 s_s + s_s * 1/2 reg_prop / * * NEG i ^ g_2 + + * ^ 2 + s_s NEG s_s * * 1/32 s_s + * 128 ^ 2 * 64 s_s * * 1/32 s_s + * 128 ^ 2 * 64 s_s + s_s * 1/2 reg_prop / * * * 1/32 i ^ g_2 + * ^ 2 + * 128 ^ 2 * 64 s_s * s_s + * 128 ^ 2 * 64 s_s + s_s * 1/2 reg_prop / * * * 16 i ^ g_2 + * ^ 2 + ^ 2 * 1/2 s_s * s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop / * * * 1/3 i ^ g_2 + + + / * * * i ^ g_2 s_s + s_s * 1/2 reg_prop / * * * NEG i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * NEG i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * NEG 2 i ^ g_2 + + * s_s * ^ NEG + ^ 2 * 1/2 s_s * NEG s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop / * * * 17/48 i ^ g_2 + + + + + / * * * i ^ g_2 s_s + s_s * 1/2 reg_prop / * * * * NEG 16/17 i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 16/17 i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * 1/17 i ^ g_2 + + * s_s * * NEG 1/64 s_s + * 128 ^ 2 * 64 s_s * * NEG 1/64 s_s + * 128 ^ 2 * 64 s_s + s_s * 1/2 reg_prop / * * * NEG 8/17 i ^ g_2 + + * s_s * * NEG 1/128 ^ 2 + * 128 ^ 2 * 64 s_s * * NEG 1/128 s_s + * 128 ^ 2 * 64 s_s + s_s * 1/2 reg_prop / * * * NEG 32/17 i ^ g_2 + + * s_s * ^ NEG + ^ 2 * 1/2 s_s * NEG s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qcd
AntiPart d alpha (X) b nu (X) to AntiPart d beta (X)^(*) AntiPart c lambda (X),"Vertex V_0:AntiPart d(X_3), G(X_4),  OffShell d(V_0), Vertex V_1:G(X_2), AntiPart d(X_1), AntiPart  OffShell d(V_1),",/ * * i ^ g_2 + + + + + + * * * * p_lor gamma_lor_spi b_spi_T_2_col_idx_idx_3_idx_idx_7 T_2_col_idx_idx_6_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_star d_col_idx_6_spi_pv_star d_col_idx_idx_7 b_spi_pv * * * 1/2 p_lor gamma_lor_spi gamma * * * * lor_spi_spi gamma_lor_spi b_spi_T_2_col_idx_idx_3_idx_idx_7 T_2_col_idx_idx_6_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_star d_col_idx_6_spi_pv_star d_col_idx_idx_7 b_spi_pv + s * 1/2 reg_prop,+ * * * * 4/9 ^ g_4 s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 8/9 i ^ g_2 + / * * * i ^ g_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ g_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qcd
u alpha (X)^(*) AntiPart s eps (X) to u eta (X) AntiPart s alpha (X)^(*),"Vertex V_1:AntiPart s(X_2), AntiPart s(X_4),  OffShell G(V_1), Vertex V_0:u(X_1), u(X_3),  OffShell G(V_0),",+ * * * 1/12 i ^ g_2 gamma / * * lor_spi_del_col gamma_lor_spi_col + * * * s_idx_7_del_col_pv_s_idx_7_spi_pv_star u_col Adel_col_pu_u_col_idx_0_spi_pu_star * * * * NEG 3 s Adel_col_pv_s_idx_2_spi_pv_star u_col_idx_2_del_col_pu_u_col_idx_0_spi_pu_star + + mass_u_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/16 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/144 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop,qcd
AntiPart t eta (X) tau (X) to AntiPart t alpha (X)^(*) AntiPart tau (X),"Vertex V_1:AntiPart t(X_3), A(X_4),  OffShell t(V_1), Vertex V_0:A(X_2), AntiPart t(X_1), AntiPart  OffShell t(V_0),",/ * * i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * t_del_8345_pv t_spi_0_pv_star * * 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * t_del_8347_pv t_spi_3_pv_star + s * 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qed
AntiPart s eps (X) AntiPart c eps (X) to AntiPart s eta (X)^(*) AntiPart c alpha (X)^(*),"Vertex V_1:AntiPart c(X_2), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0:AntiPart s(X_1), AntiPart s(X_3),  OffShell A(V_0),",+ * * * * 1/9 i ^ e_2 gamma_lor_spi gamma / * * * * lor_0 s_del_2339 c_del_2339_pv c_spi_0_pv_star s_star s + + mass_s_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
s gam (X)^(*) AntiPart s del (X) to b eps (X) AntiPart b eta (X)^(*),"Vertex V_1:b(X_3), AntiPart b(X_4),  OffShell G(V_1), Vertex V_0:s(X_1), AntiPart s(X_2),  OffShell G(V_0),",+ * * * NEG 1/4 i ^ g_2 gamma / * * lor_spi b_spi_gamma_lor_spi + * * * col_idx_6_b_spi_pv_col_idx_7_spi_pu_star s s * * * * NEG 1/3_col idx_idx_7 b_spi_pv_col_idx_7_spi_pu_star s s + + mass_s_sq s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * 1/2 ^ 2 s_s * * 1/2 s_s * * 1/2 s_s * * 1/2 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop,qcd
e alpha (X)^(*) AntiPart t eps (X) to e eta (X) AntiPart t alpha (X)^(*),"Vertex V_1:AntiPart t(X_2), AntiPart t(X_4),  OffShell A(V_1), Vertex V_0:e(X_1), e(X_3),  OffShell A(V_0),",+ * * * NEG 1/2 i ^ e_2 gamma / * * * * * lor_0 s_del_1827 gamma_lor_spi_del e_spi_0_pu_star e_del_1827_pu t_del_1828_pv t_spi_1_pv_star + + mass_e_sq NEG s * 1/2 reg_prop,* * * 1/4 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
t alpha (X)^(*) mu (X) to t beta (X) nu (X),"Vertex V_0:A(X_2), t(X_3), AntiPart  OffShell t(V_0), Vertex V_1:t(X_1), A(X_4),  OffShell t(V_1),",/ * * i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * t_spi_0_pu_star t_del_7055_pu * * NEG 1/2 p lambda gamma * * * lambda s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * t_spi_3_pu_star t_del_7057_pu + s * NEG 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
d gam (X)^(*) c del (X)^(*) to d eps (X) c eta (X),"Vertex V_0:c(X_2), c(X_4),  OffShell G(V_0), Vertex V_1:d(X_1), d(X_3),  OffShell G(V_1),",+ * * * NEG 1/4 i ^ g_2 gamma / * * lor_spi_spi gamma_lor_spi + * * * idx_3_spi_pu_col_idx_4_spi_pu_star d_col_idx_3_spi_pu_star d_col_idx_4_spi_pu * * * * NEG 1/3 idx_4_spi_pu_col_idx_4_spi_pu_star d_col_idx_4_spi_pu_star d_col_idx_4_spi_pu + + mass_d_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop,qcd
AntiPart s del (X) rho (X) to AntiPart s eps (X)^(*) AntiPart rho (X),"Vertex V_1:AntiPart s(X_3), A(X_4),  OffShell s(V_1), Vertex V_0:A(X_2), AntiPart s(X_1), AntiPart  OffShell s(V_0),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * s s_star * * 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * s s_star + s * 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qed
AntiPart t eta (X) AntiPart sigma (X) to AntiPart t eps (X)^(*) AntiPart lambda (X),"Vertex V_1:AntiPart t(X_3), A(X_4),  OffShell t(V_1), Vertex V_0:A(X_2), AntiPart t(X_1), AntiPart  OffShell t(V_0),",/ * * i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * t_spi_0_pv t_spi_1_pv_star * * 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * t_spi_4_pv t_spi_5_pv_star + s * 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qed
s gam (X)^(*) AntiPart s del (X) to t eps (X) AntiPart t eta (X)^(*),"Vertex V_0:t(X_3), AntiPart t(X_4),  OffShell A(V_0), Vertex V_1:s(X_1), AntiPart s(X_2),  OffShell A(V_1),",+ * * * NEG 1/6 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del s_star s t_del_240_pv t_spi_2_pu_star + + mass_s_sq s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2,qed
d gam (X)^(*) AntiPart d del (X) to b eps (X) AntiPart b eta (X)^(*),"Vertex V_1:b(X_3), AntiPart b(X_4),  OffShell G(V_1), Vertex V_0:d(X_1), AntiPart d(X_2),  OffShell G(V_0),",+ * * * NEG 1/4 i ^ g_2 gamma / * * lor_spi_spi gamma_lor_spi b_spi + * * * col_idx_4_spi_pu_star_col_idx_idx_3 b_spi_pv_d_idx_3_spi_pv_star d_col_idx_4_spi_pu * * * * NEG 1/3_col idx_5_spi_pu_star_col_idx_idx_5 b_spi_pv_d_idx_4_spi_pv_star d_col_idx_4_spi_pu + + mass_d_sq s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * 1/2 ^ 2 s_s * * 1/2 s_s * * 1/2 s_s * * 1/2 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop,qcd
